snapshot_date,cohort,cohort_label,holdings,win_rate,mean_return,median_return,mean_alpha,sp500_mean_return,avg_days_held,best_symbol,worst_symbol
2026-09-24,top_10,Top 10 by peak score,10,0.5,0.0378,0.0199,0.004,0.0338,80,NTRA,ALL
2026-09-24,top_20,Top 20 by peak score,20,0.35,-0.01,-0.0192,-0.0382,0.0282,81,NTRA,GS
2026-09-24,top_30,Top 30 by peak score,30,0.3,-0.0375,-0.0482,-0.0633,0.0259,74.2,NTRA,GFS
2026-09-24,score_90,Score ≥ 90,448,0.3951,-0.0226,-0.0266,-0.0501,0.0275,91.4,VEEV,APP
2026-09-24,score_92,Score ≥ 92,315,0.3873,-0.0234,-0.0273,-0.0486,0.0252,83.8,VLO,APP
2026-09-24,score_95,Score ≥ 95,89,0.3483,-0.0215,-0.0395,-0.0401,0.0186,67,NTRA,GFS
2026-09-23,top_10,Top 10 by peak score,10,0.5,0.0243,0.0172,-0.0103,0.0346,79,NTRA,ALL
2026-09-23,top_20,Top 20 by peak score,20,0.4,-0.0127,-0.0087,-0.0417,0.029,80,NTRA,ALL
2026-09-23,top_30,Top 30 by peak score,30,0.3333,-0.0383,-0.0461,-0.065,0.0267,73.2,NTRA,GFS
2026-09-23,score_90,Score ≥ 90,447,0.4228,-0.0158,-0.0196,-0.0442,0.0284,90.6,MPC,APP
2026-09-23,score_92,Score ≥ 92,313,0.3994,-0.0167,-0.0182,-0.0429,0.0262,83.3,VLO,APP
2026-09-23,score_95,Score ≥ 95,89,0.3483,-0.0198,-0.0357,-0.0393,0.0194,66,NTRA,GFS
2026-09-22,top_10,Top 10 by peak score,10,0.5,0.0326,0.0285,-0.0095,0.0421,78,NTRA,ALL
2026-09-22,top_20,Top 20 by peak score,20,0.45,-0.0069,-0.0175,-0.0434,0.0365,79,NTRA,GEV
2026-09-22,top_30,Top 30 by peak score,30,0.3333,-0.0325,-0.0437,-0.0667,0.0341,72.2,NTRA,GFS
2026-09-22,score_90,Score ≥ 90,447,0.4362,-0.0078,-0.0175,-0.0437,0.0359,89.6,UMC,STRL
2026-09-22,score_92,Score ≥ 92,311,0.4277,-0.0102,-0.0178,-0.044,0.0338,82.9,VLO,GFS
2026-09-22,score_95,Score ≥ 95,89,0.3596,-0.0136,-0.0243,-0.0404,0.0268,65,NTRA,GFS
2026-09-21,top_10,Top 10 by peak score,10,0.5,0.036,0.028,-0.0063,0.0423,77,NTRA,IHG
2026-09-21,top_20,Top 20 by peak score,20,0.45,-0.0038,-0.0096,-0.0405,0.0366,78,NTRA,GEV
2026-09-21,top_30,Top 30 by peak score,30,0.3333,-0.0271,-0.0363,-0.0615,0.0343,71.2,NTRA,GFS
2026-09-21,score_90,Score ≥ 90,446,0.4417,-0.0067,-0.0134,-0.0428,0.0361,88.8,MPC,STRL
2026-09-21,score_92,Score ≥ 92,309,0.4337,-0.0097,-0.0108,-0.0437,0.034,82,MPC,APP
2026-09-21,score_95,Score ≥ 95,89,0.4045,-0.0078,-0.0159,-0.0347,0.027,64,VLO,GFS
2026-09-18,top_10,Top 10 by peak score,10,0.5,0.0345,0.0183,0.0107,0.0238,74,NTRA,IHG
2026-09-18,top_20,Top 20 by peak score,20,0.45,-0.0086,-0.0003,-0.0269,0.0183,75,NTRA,GEV
2026-09-18,top_30,Top 30 by peak score,30,0.3333,-0.0315,-0.0407,-0.0475,0.016,68.2,NTRA,GFS
2026-09-18,score_90,Score ≥ 90,444,0.4437,-0.0111,-0.0153,-0.029,0.0179,86.2,VLO,APP
2026-09-18,score_92,Score ≥ 92,308,0.4156,-0.0128,-0.0163,-0.0287,0.0158,79.3,CRWD,APP
2026-09-18,score_95,Score ≥ 95,87,0.3793,-0.0155,-0.0178,-0.0241,0.0087,61.3,NTRA,GFS
2026-09-17,top_10,Top 10 by peak score,10,0.6,0.0422,0.0503,0.0171,0.025,73,NTRA,IHG
2026-09-17,top_20,Top 20 by peak score,20,0.45,-0.007,-0.0111,-0.0265,0.0195,74,NTRA,GEV
2026-09-17,top_30,Top 30 by peak score,30,0.3667,-0.0295,-0.0388,-0.0467,0.0172,67.2,NTRA,GFS
2026-09-17,score_90,Score ≥ 90,444,0.4595,-0.0071,-0.0075,-0.0262,0.0191,85.2,CRWD,STRL
2026-09-17,score_92,Score ≥ 92,308,0.4351,-0.0091,-0.0103,-0.0262,0.0171,78.3,CRWD,GFS
2026-09-17,score_95,Score ≥ 95,85,0.4118,-0.0113,-0.0122,-0.0214,0.0101,61.7,NTRA,GFS
2026-09-16,top_10,Top 10 by peak score,10,0.6,0.0307,0.0449,0.0172,0.0136,72,NTRA,IHG
2026-09-16,top_20,Top 20 by peak score,20,0.45,-0.0159,-0.0357,-0.024,0.0081,73,NTRA,GEV
2026-09-16,top_30,Top 30 by peak score,30,0.3333,-0.0366,-0.0357,-0.0424,0.0058,66.2,NTRA,GFS
2026-09-16,score_90,Score ≥ 90,445,0.4584,-0.0099,-0.0122,-0.0177,0.0078,84.8,MPC,GFS
2026-09-16,score_92,Score ≥ 92,307,0.4169,-0.0149,-0.0186,-0.0206,0.0057,77.5,CRWD,GFS
2026-09-16,score_95,Score ≥ 95,86,0.3837,-0.0102,-0.0169,-0.0095,-0.0007,61.2,VLO,GFS
2026-09-15,top_10,Top 10 by peak score,10,0.6,0.0417,0.0686,0.0236,0.0181,71,NTRA,IHG
2026-09-15,top_20,Top 20 by peak score,20,0.45,-0.0111,-0.0267,-0.0236,0.0125,72,NTRA,GEV
2026-09-15,top_30,Top 30 by peak score,30,0.3667,-0.0303,-0.0267,-0.0406,0.0103,65.2,NTRA,GFS
2026-09-15,score_90,Score ≥ 90,444,0.4955,-0.0022,-0.0002,-0.0145,0.0123,83.8,CRM,STRL
2026-09-15,score_92,Score ≥ 92,306,0.4706,-0.0032,-0.0079,-0.0134,0.0103,77.2,MPC,GFS
2026-09-15,score_95,Score ≥ 95,84,0.4286,-0.0004,-0.0091,-0.004,0.0037,61.6,VLO,GFS
2026-09-14,top_10,Top 10 by peak score,10,0.6,0.0426,0.0701,0.0199,0.0227,70,NTRA,IHG
2026-09-14,top_20,Top 20 by peak score,20,0.45,-0.0102,-0.0219,-0.0274,0.0172,71,NTRA,GEV
